# Timestep Metrics Log
# Format: step | avg_loss | avg_1-cos_sim
#======================================================================
Step 200: loss=1.077679, 1-cos=0.516551
Step 400: loss=0.650799, 1-cos=0.215079
Step 600: loss=0.315260, 1-cos=0.122976
Step 800: loss=0.268991, 1-cos=0.119117
Step 1000: loss=0.242863, 1-cos=0.107103
Step 1200: loss=0.213811, 1-cos=0.086795
Step 1400: loss=0.236305, 1-cos=0.099339
Step 1600: loss=0.215723, 1-cos=0.096255
Step 1800: loss=0.203092, 1-cos=0.084809
Step 2000: loss=0.210958, 1-cos=0.092212
Step 2200: loss=0.210686, 1-cos=0.091189
Step 2400: loss=0.214555, 1-cos=0.096103
Step 2600: loss=0.220135, 1-cos=0.092050
Step 2800: loss=0.202691, 1-cos=0.087782
Step 3000: loss=0.217750, 1-cos=0.095211
Step 3200: loss=0.213637, 1-cos=0.093280
Step 3400: loss=0.189640, 1-cos=0.080170
Step 3600: loss=0.200658, 1-cos=0.082532
Step 3800: loss=0.206394, 1-cos=0.089126
Step 4000: loss=0.199098, 1-cos=0.084934
Step 4200: loss=0.188343, 1-cos=0.081423
Step 4400: loss=0.177418, 1-cos=0.072570
Step 4600: loss=0.209830, 1-cos=0.088252
Step 4800: loss=0.214953, 1-cos=0.093046
Step 5000: loss=0.198512, 1-cos=0.086053
Step 5200: loss=0.192111, 1-cos=0.080237
Step 5400: loss=0.171599, 1-cos=0.070579
Step 5600: loss=0.190195, 1-cos=0.079930
Step 5800: loss=0.193842, 1-cos=0.082639
Step 6000: loss=0.193145, 1-cos=0.079930
Step 6200: loss=0.183678, 1-cos=0.076366
Step 6400: loss=0.173414, 1-cos=0.071813
Step 6600: loss=0.181285, 1-cos=0.075039
Step 6800: loss=0.166486, 1-cos=0.070105
Step 7000: loss=0.226015, 1-cos=0.095979
Step 7200: loss=0.194132, 1-cos=0.081710
Step 7400: loss=0.197982, 1-cos=0.085362
Step 7600: loss=0.193523, 1-cos=0.082797
Step 7800: loss=0.178187, 1-cos=0.076292
Step 8000: loss=0.165794, 1-cos=0.070723
Step 8200: loss=0.193853, 1-cos=0.082754
Step 8400: loss=0.205006, 1-cos=0.092782
Step 8600: loss=0.183968, 1-cos=0.076501
Step 8800: loss=0.184409, 1-cos=0.078187
Step 9000: loss=0.186524, 1-cos=0.077409
Step 9200: loss=0.166063, 1-cos=0.068912
